Month,Xiaomi
2012-01,12
2012-02,12
2012-03,12
2012-04,12
2012-05,12
2012-06,12
2012-07,11
2012-08,14
2012-09,11
2012-10,10
2012-11,10
2012-12,10
2013-01,10
2013-02,9
2013-03,9
2013-04,10
2013-05,10
2013-06,10
2013-07,11
2013-08,12
2013-09,14
2013-10,13
2013-11,12
2013-12,14
2014-01,13
2014-02,14
2014-03,15
2014-04,16
2014-05,16
2014-06,15
2014-07,24
2014-08,27
2014-09,23
2014-10,22
2014-11,22
2014-12,24
2015-01,26
2015-02,23
2015-03,23
2015-04,26
2015-05,26
2015-06,26
2015-07,28
2015-08,29
2015-09,28
2015-10,27
2015-11,31
2015-12,30
2016-01,32
2016-02,32
2016-03,36
2016-04,37
2016-05,37
2016-06,39
2016-07,45
2016-08,45
2016-09,48
2016-10,57
2016-11,51
2016-12,48
2017-01,48
2017-02,46
2017-03,46
2017-04,50
2017-05,48
2017-06,51
2017-07,56
2017-08,53
2017-09,63
